product_id,customer_id,customer_name,rating,title,content,thank_count,created_at
55496402,16637345,Nguyen Dang Mien,4,Hài lòng,,0,1626745769
55496402,11318198,Lý Thị Hiền,5,Cực kì hài lòng,,0,1602242696
188446447,18105272,Nguyễn Minh Phước,5,Cực kì hài lòng,Hàng ok. Đúng miêu tả. Bền hay không phải trải qua thời gian.,0,1751880237
101360987,18763288,Ngọc Quý Dương,5,Cực kì hài lòng,,0,1677482002
53439011,14594512,An An,5,Cực kì hài lòng,,0,1617384556
55582237,17930915,Nguyễn văn oanh,4,Hài lòng,,0,1605706984
99368072,11616276,Nguyễn Duy Đông,4,Hài lòng,,0,1722762924
99368072,24612902,Thành Sony,5,Cực kì hài lòng,Mình lấy quai là lại ko có.nhưng đẹp tk shop,0,1672036448
99368072,26372475,Trần Lan,5,Cực kì hài lòng,"mẫu mã đẹp, đóng gói chắc chắn, giao hàng nhanh lần sau ủng hộ shop tiếp",1,1641727823
99368072,14860089,Mạnh Hùng,5,Cực kì hài lòng,sản phẩm vẽ tay đẹp hàng chính hãng.,0,1639989416
53438851,11243976,Nguyễn Thanh Thanh,5,Cực kì hài lòng,"giao hàng quá chậm, không đúng thời gian dự tính trên app.",0,1613568210
277419647,8802684,Lê Thanh Tùng ,4,Hài lòng,,0,1745725736
99929532,8929397,Đinh Đình Đức ,5,Cực kì hài lòng,"Ấm đẹp, giao hàng nhanh, hơi tiếc vì bị rỗ mất hai lỗ.",0,1641701188
99929532,14746535,Chi Nguyen,5,Cực kì hài lòng,rất hài lòng,0,1636432741
53439065,16232133,Đàm tiến Dũng,5,Cực kì hài lòng,,0,1627059378
53439065,6091318,Nguyễn Hiếu Dương,5,Cực kì hài lòng,đẹp giao hàng nhanh,0,1612021962
190613578,17496530,Phan thị thanh thuỷ,4,Hài lòng,,0,1728423816
103401940,25203886,Đỗ Thị Thắm,5,Cực kì hài lòng,,0,1744854988
103401940,7025780,Hau Ng,5,Cực kì hài lòng,"Chất lượng men tốt nhưng không cẩn thận nên vỡ 3 cái ly, không biết có bán riêng ko",0,1655509795
103401940,22021079,Đức Vượng,5,Cực kì hài lòng,,0,1644297127
13912786,1443148,T Tran,5,Cực kì hài lòng,,0,1613984002
198200203,8038422,Nơi Đó Có Em,5,Cực kì hài lòng,,0,1671617109
8458230,5403221,Pucca PQ,4,Hài lòng,"Khá vừa ý, chắc vì sách khổ lớn nên không bọc bookcare được",0,1664535140
8458230,16121323, Nguyễn Thu Hương,5,Cực kì hài lòng,,0,1667177079
8458230,6405280,Nguyễn Bình,4,Hài lòng,,0,1658133572
8458230,88616,Trương Minh Đăng,5,Cực kì hài lòng,,0,1654558339
8458230,6772102,Trần Vân,5,Cực kì hài lòng,,0,1614763634
8458230,1325860,Mai Nguyen,5,Cực kì hài lòng,,0,1608200996
271543729,1581818,Trần Quang Đăng,4,Hài lòng,,0,1715257812
270287127,30242661,Ngọc Phương Đông,5,Cực kì hài lòng,"Chất lượng, sắc nét",0,1734860277
71090274,7781748,Nguyễn Hiếu Thảo,5,Cực kì hài lòng,"Sách in dày, bóng đẹp, hình ảnh bắt mắt, nhiều món chay đa dạng, nguyên liệu dễ tìm có thể áp dụng được.",0,1628512492
71090274,678136,Nguyễn Hằng,5,Cực kì hài lòng,"- Nội dung: Tương đối đa dạng, phân chia các phần mục rõ ràng. Lối diễn đạt dung giản, phù hợp thị hiếu của ngay cả những đối tượng bước đầu mới ""mon men"" đến thế giới của thức chay.
- Hình thức: Phần bìa và trang sách được thiết kế, biện bày tốt.",0,1607287199
71090274,300818,Trần Thị Phượng,5,Cực kì hài lòng,"Sách hay, nhiều hỉnh ảnh, các món ăn chất rất chất lượng. Nên mua.",0,1660812093
71090274,11450411,Trần Hào,5,Cực kì hài lòng,"sách về nấu ăn, cũng ổn, nhưng nội dung chưa đa dạng và các món ăn cũng chưa đặc sắc lắm. dù sao cũng rất ủng hộ những tác giả vn viết về ăn sạch",0,1608872368
71090274,23510931,do thanh lan,5,Cực kì hài lòng,,0,1679588173
71090274,10632994,Jane Phạm,5,Cực kì hài lòng,,0,1670415438
71090274,1497701,Nguyen Hoang Thuy Trang,5,Cực kì hài lòng,,0,1667087973
71090274,22653275,Minh Phụng,5,Cực kì hài lòng,Quyển sách tạo nhiều động lực hơn cho mình ăn chay😊😊😊. Cảm ơn Tiki,0,1632455964
71090274,818196,Diệu Ân,5,Cực kì hài lòng,giao hàng nhanh,0,1650800022
71090274,14792674,Trần Thị Thanh Huyền,5,Cực kì hài lòng,"Sách hay, nội dung hay, ảnh đẹp, in màu cũng rất đẹp",0,1634020771
